course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
CMPT 415,D800,fall,2024,Permission of Instructor and School.,,True,[],Martin Ester,3
CMPT 430,D200,fall,2024,"CMPT 429, CGPA of 2.50.",CMPT 429,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:00', 'endTime': '20:00', 'campus': None}]",Tanya Behrisch;Cristina Eftenaru;Stephanie Greaves,3
CMPT 495,D100,fall,2024,CMPT 494 with a minimum grade of C-. CMPT 495 must be taken in the term immediately following the successful completion of CMPT 494 and must be for the same project and faculty supervisor.,CMPT 494;CMPT 495,False,[],Keval Vora;William Sumner,3
SEE 490,I100,fall,2024,SEE 390 or SEE 394.,SEE 390;SEE 394,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:00', 'endTime': '20:00', 'campus': None}]",Tyler Schwartz;Wendy McKay;Stephanie Greaves,3
MATH 336,D200,fall,2024,"Students must apply to and receive permission from the co-op co-ordinator at least one, preferably two, terms in advance. They will normally be required to have completed 45 units with a GPA of 2.5. This course will be graded on a pass/withdraw basis. A course fee is required.",,True,[],Magnus Billings;Natalia Bussard;Natalie Erickson,3
ECON 392,D100,fall,2024,ECON 201 with a minimum grade of C-; 60 units.,ECON 201,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}]",Yan Yan,3
SA 499,D200,fall,2024,"SA 495, permission from the SA department, and prior agreement from an SA faculty member who has agreed to supervise the honours essay.",SA 495,False,[],Kendra Strauss,4
BUS 225,D200,fall,2024,,,False,[],Shauna Tonsaker,3
EDUC 400,D001,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Alexandra Gillis,15
EDUC 400,D002,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Alexandra Gillis,15
EDUC 400,D005,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Paula Rosehart,15
EDUC 400,D006,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Paula Rosehart,15
EDUC 400,D009,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Laura D'amico,15
EDUC 400,D010,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Lilach Marom,15
EDUC 400,D011,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Ann Chinnery,15
EDUC 400,F014,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Isabelle Cote;Monica Tang,15
EDUC 400,D003,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Jessica Deitcher,15
EDUC 400,D004,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Jessica Deitcher,15
EDUC 400,D007,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Greg Sutherland,15
EDUC 400,D008,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Greg Sutherland,15
EDUC 400,D012,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,"[{'days': 'Tu', 'startTime': '9:00', 'endTime': '12:20', 'campus': 'Vancouver'}, {'days': 'Tu', 'startTime': '12:30', 'endTime': '15:20', 'campus': 'Vancouver'}, {'days': 'Th', 'startTime': '12:30', 'endTime': '15:20', 'campus': 'Vancouver'}]",Pooja Dharamshi,15
EDUC 400,D013,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Cher Hill,15
EDUC 400,D015,fall,2024,Admission to Professional Programs and successful completion of a Criminal Record Check.,,False,[],Colleen Elderton,15
