course,term,year,prereqs
bus 687,spring,2024,Only for students in the IBL EMBA program.
bus 697,spring,2024,Only for students in the IBL EMBA program.
bus 700,spring,2024,
bus 702,spring,2024,
bus 703,spring,2024,
bus 710,spring,2024,
bus 711,spring,2024,
bus 719,spring,2024,
bus 724,spring,2024,
bus 726,spring,2024,
bus 727,spring,2024,
bus 733,spring,2024,
bus 734,spring,2024,
bus 735,spring,2024,
bus 751,spring,2024,
bus 752,spring,2024,
bus 756,spring,2024,
bus 763,spring,2024,
bus 774,spring,2024,
bus 792,spring,2024,
bus 793,spring,2024,
bus 796,spring,2024,"BUS 790 Lab to Market, BUS 791 Opportunity Identification and Assessment"
bus 802,spring,2024,"BUS 803, BUS 806, and BUS 827."
bus 810,spring,2024,"BUS 803, BUS 806, and BUS 827."
bus 814,spring,2024,
bus 846,spring,2024,BUS 845.
bus 861,spring,2024,
bus 880,spring,2024,BUS 881 or Academic Director approval.
bus 963,spring,2024,
bus 970,spring,2024,
bus 983,spring,2024,Enrollment in PhD program.
bus 984,spring,2024,Enrollment in PhD program.
bus 985,spring,2024,Enrollment in PhD program.
bus 987,spring,2024,Enrollment in PhD program.
bus 988,spring,2024,Enrollment in PhD program.
bus 990,spring,2024,Enrollment in PhD program.
bus 992,spring,2024,Enrollment in PhD program.
bus 993,spring,2024,
ca 104,spring,2024,
ca 118,spring,2024,
ca 120,spring,2024,
ca 123,spring,2024,CA (or FPA) 122. Corequisite: CA 123 and CA 124 must be taken concurrently.
ca 124,spring,2024,"Declared dance major, extended minor, or permission from instructor."
ca 131,spring,2024,CA (or FPA) 130 and prior approval.
ca 135,spring,2024,
ca 137,spring,2024,
ca 140,spring,2024,
ca 142,spring,2024,
ca 144,spring,2024,CA 143. Corequisite: CA 146.
ca 146,spring,2024,CA 145. Corequisite: CA 144.
ca 149,spring,2024,
ca 150,spring,2024,
ca 152,spring,2024,CA 151.
ca 161,spring,2024,CA (or FPA) 160.
ca 170,spring,2024,
ca 221,spring,2024,CA (or FPA) 220.
ca 231,spring,2024,CA (or FPA) 230 and CA (or FPA) 233.
ca 232,spring,2024,CA (or FPA) 131.
ca 243,spring,2024,Prior approval.
ca 246,spring,2024,CA 245.
ca 249,spring,2024,CA (or FPA) 140 and/or prior approval.
ca 252,spring,2024,"One of CA 123, 131, 146, 161, 171, 251."
ca 255,spring,2024,"One of CA 123, 131, 146, 152, 161, 171."
