name,department,rating,num_ratings,would_take_again_percent,difficulty,courses
Esther Verheyen,Biology,4.6,16,87.5,3.2,BISC202; MBB438
Pascal Haegeli,Resource Management,3.4,57,62.7451,3.4,REM100; REM427
Cristina Pastia,Criminology,1.6,10,20,4.1,CRIM320
Faezeh Yazdi,Statistics,4.3,4,75,2.3,STAT445
James Flory,Marketing,3.8,4,75,3.3,BUS441
Jiamin Liu,Economics,3.2,61,37.1429,3.5,ECON103; ECON105; ECON290; ECON291
Kamal Masri,Business Administration,4.1,109,69.2308,3,BUS100; BUS237; BUS361; BUS362; CBSY2205; D100; MIS237; bus496
Wei Wah Wong,Linguistics,3.7,6,83.3333,2.5,LING111; LING362
Richard Gbedoah,Political Science,3.7,3,66.6667,2,POL121
Saieed Akbari,Mathematics,4.3,19,89.4737,2.5,Math-232
Gary Parker,Mathematics,3.8,34,64.7059,4.3,310; ACMA; ACMA210; ACMA310; ACMA320; ASSORTEDACMAS; STAT271; STAT485
Daniela Blettner,Business Administration,4.5,11,75,2.8,BUS340; BUS471; BUS478
Megan MacKenzie,International Studies,5,2,100,3,IS101
Eirikur Palsson,Biology,2.5,84,100,3.6,BIO101; BISC100; BISC101; BISC371; BISC475; BSC101; PHYS101
Harinder Khangura,Computer Science,4.5,52,89.1892,2.9,CMPT105W; CMPT106; CMPT120; CMPT150; CMPT165; CMPT250; CMPT295; CMPT300; CMPT322; MACM101
Heesoon Bai,Education,4.4,33,90,1.9,833; ED883; EDPHI01; EDU230; EDUC100W; EDUC203; EDUC230; EDUC327; EDUC437; EDUC833
Abraham Punnen,Mathematics,2.1,25,17.6471,3.8,MACM201; MATH157; MATH232; MATH308; math152
Kwai Man Fung,Business Administration,4.2,17,82.3529,3.4,BUS254; BUS321; BUS330; BUS331
Krista  Socholotiuk,Education,5,2,100,1.5,EDUC423; HSCI220
David Mirhady,Humanities,3.2,96,59.0909,3.1,161; HUM102; HUM102W; HUM151; HUM201; HUM216; HUM302; HUM332
Scott Lear,Health Science,4.1,34,91.3043,2.5,HSCI211; HSCI403; HSCI484
Jie Goh,Business Administration,3.3,14,57.1429,3.1,BUS237; BUS462
Kanna Hayashi,Health Science,3.2,12,58.3333,3,HSCI330; HSCI341; HSCI431
Dr jennifer Davis,Psychology,2.9,9,33.3333,3.2,psyc260
Vance Williams,Chemistry,3.7,74,100,2.8,CH281; CHEM122; CHEM190; CHEM281; CHEM282; CHEM380; CHEM391; CHEMORG; ORGD
Qianping Gu,Computer Science,2.9,51,52.9412,3.6,CMPT307; CMPT371; CMPT405; CMPT471; CMPT705
Matthias Danninger,Physics,2.8,38,47.3684,4.1,PHYS120; PHYS211; phys125
Michelle Walks,Gender Studies,2.5,30,37.931,3.4,GSWS102; GSWS1100; GSWS200; GSWS320; GWST101; SA201W; Sa356w
Sandra Dielissen,Indigenous Studies,3,2,50,2.5,GSWS101; INDG101
Dan Ridinger,Computer Science,2,57,17.0732,2.8,376W; CMPT370; CMPT376W; CMPT475
Farshid Kazemi,Film,3.5,35,71.4286,2.4,CA135; ca137
Evdoxios Doxiadis,History,3.8,18,68.75,3.7,HIST106; HIST276; HIST307; HIST338; HIST341; HIST364; HIST476; HS276
Peter J. Unrau,Science,3.8,18,75,3.6,MBB229; MBB308; MBB323; MBB331; MBB429
Julia Rueben,German,4.6,5,80,3.2,GERM102
Steven Holdcroft,Chemistry,3.7,173,65.625,3.5,CEHM121; CHEM; CHEM121; CHEM442
Sepand Fardghassemi,Business Administration,4.8,4,100,3.3,BUS240
Mohammadreza Karamad,Chemistry,2,1,0,4,1124
Amandio Vieira,Kinesiology,1.7,62,10.4167,3.5,BPK110; BPK140; BPK311; KIN110; KIN311
Claudia Wong,Linguistics,2.5,30,43.3333,2.8,LING111; LING220; LING360; LING362; Ling100
Janet Danielson,Music,2.4,90,3.8462,3.6,CA104; FPA100; FPA104; FPA120; FPA145; FPA246; FPA345
Maxwell Levit,Mathematics,2.4,17,29.4118,3.2,MATH100; MATH308
Alexandra Kitson,Design,5,3,100,2,IAT333
Chris Bidner,Economics,3.8,15,66.6667,3.4,455W; ECON220W; ECON355; ECON355W; ECON455; ECON455W
Jade Ho,Education,3.7,3,66.6667,3,EDUC230; GA202; GA301
Dylan Chandler,Communication,2.5,2,50,3,cmns253w
Milan Tofiloski,Computer Science,2.1,109,28.7037,3.4,376W; CMPT105W; CMPT125; CMPT310; CMPT376; CMPT376W; IAT167; MACM101
Isolde Hey,German,1.4,4,0,3.5,GER104; GERM104
Melissa Rui wan,Business Administration,5,3,100,2.3,BUS418
Angelica Lim,Computer Science,4.2,74,83.7838,2.9,CMPT120; CMPT310; CMPT376; CMPT419
Bob Muir,Archaeology,3.9,7,85.7143,2.9,ARCH100; ARCH201; ARCH282
Nicholas Schmitt,Economics,1.9,25,14.2857,3.8,ECON102; ECON302; ECON342
Fred Popowich,Computer Science,3.2,24,80,3,CMPT165; CMPT275; CMPT376; CMPT376W; CMPT413; cmpt120
Panayiotis Pappas,Languages,2.7,66,60,3.6,415; LING160; LING220; LING282W; LING309W; LING322; LING407; LING415; LINGLING
Carolyn Lesjak,English,4.1,24,66.6667,3.5,206; E330; ENG101; ENG115W; ENG206; ENG330; ENGL101; ENGL101W; ENGL115W; ENGL206; ENGL216; ENGL330; ENGL364
Paula  Rosehart,Education,3.7,3,66.6667,1.7,educ326; educ400
Elizabeth King,Health Science,3.3,10,60,3.7,HSCI207; HSCI212
Sarah Henzi,Native Studies,4.6,9,88.8889,2.9,FNST101; FREN355; INDG100; INDG101
Dale McCartney,History,4.9,47,100,2.2,EDUC370; HIST102; HIST103; HIST204; IBST101; LBR301; LBST101; LBST101301; LBST301; LBST330; UNIV101
Jim Mattsson,Biology,3.5,31,61.5385,2.8,BISC205; BISC329; BISC333; BISC357; BISC366; BISC367; BISC471; BISC473
Behraad Bahreyni,Engineering,3.8,22,61.5385,3.6,CNN225; ENSC226; ENSC260; FAT203; MSE251; MSE311
Weiran Sun,Mathematics,3,54,43.9024,4.4,MATH157; MATH242; MATH251; MATH252; MATH314; MATH418; MATH467
Pamela Stern,Health Science,2.5,33,26.6667,3.6,ANTH101; HSCI214; SA1; SA101; SA105; SA201; SA201W; SA301; SA356; SA356W
Olga Shipulina,Education,2.7,25,43.4783,3.8,EDUC221; EDUC313; FANX99; MATH100
Gary Teeple,Social Science,4.2,54,85.7143,3,AABBCAAVV; ALLD; SA100; SA100351362; SA315; SA325; SA327; SA350; SA351; SA352; SA358; SA362; SA410; SA416; SOC325; SOCI351; sa317
Daniel B. Leznoff,Chemistry,3.8,110,74.7253,3.8,CHEM121
Howard Trottier,Physics,4.1,109,63.4146,2.9,ASTRONOMY; PHYS125; PHYS126; PHYS190; PHYSICS190
Farhad Shahryarpoor,Economics,1,1,0,5,econ104
Jerry Sheppard,Business Administration,3.1,39,69.2308,2.7,BUS303; BUS478
Ryan Lundell- Creagh,Psychology,3.8,6,83.3333,2.7,PSYC201W; PSYC370
Xue Bin Peng ,Computer Science,4.5,4,100,3,CMPT361
Andrea Tagliasacchi,Computer Science,5,2,100,4,CMPT412
Sam Rayner,Business Administration,1,1,0,3,BUS455
Antone Minard,Humanities,4,37,74.1935,3.3,ENG203; ENGL111; ENGL111W; ENGL115; ENGL115W; ENGL201; ENGL203; ENGL306; ENGL311; HUM101W; HUM102; HUM102W; HUM130; HUM204; HUM216; HUM325; HUM340; HUM350; SA323
Gaelle Planchenault,French,2.5,35,25,3.6,FR215; FREN215; FREN270; FREN275; FREN301; FREN352; FREN452; FRENCH424; FRENXXX
Ivelina Tchizmarova,Not Specified,2,3,50,3,LING160; LING220
Jas Morgan,Communication,2.3,3,33.3333,3.7,215; cmns314
Megan Giroux,Psychology,3.7,3,66.6667,3.7,PSYC102
Joyce Schneider,Indigenous Studies,2.2,39,28.2051,3.7,FNST100; FNST101; INDG101; INDG403
Boxin Tang,Statistics,3.8,37,90,2.6,STAT270; STAT285; STAT330; STAT350; STAT380; STAT402; STAT402430; STAT410; STAT430
Beth Marshall,Education,4.9,29,100,2.7,465; 472; EDU101; EDUC391; EDUC396; EDUC465
Susan Barber,Education,2.2,11,16.6667,2.8,EDUC100; EDUC341; EDUC471; EDUC472; FAL; FALX99
Nancy Hedberg,Linguistics,2.9,28,28.5714,2.6,3; LING222; LING301W; LING322; LING324; LING480
David Burley,Archaeology,2.7,13,57.1429,3.9,ARCH201; Arch101
Fatemeh Beik,Mathematics,1.5,46,13.0435,4.5,Math-232
Michael Maraun,Psychology,3.9,38,85.7143,3.8,301; 301HNRSSTATS; PSYC210; PSYC301; PSYC410; PSYC415; PSYC910; PSYCH; PSYCH210
Naghmeh Babaee,Education,2.3,6,33.3333,4.2,FALX99; HUMN430
Rolf Mathewes,Biology,2.9,51,25.9259,3.1,BIO102; BISC101; BISC102; BISC300; BISC434; ECON102
Paul Crowe,Humanities,3.8,24,75,3.3,ASC; ASC200; ASC202; HUM101; HUM101W; HUM203; HUM204; HUM331; HUM383
Robert Williamson,Education,4,4,75,3,EDUC422; EDUC424
Samantha Vries,Criminology,2.3,4,25,4.3,318
Curt Griffiths,Criminal Justice,4.6,74,100,2.1,CRIM 410; CRIM131; CRIM131DIS; CRIM20163; CRIM241; CRIM251; CRIM310; CRIM318; CRIM410; CRIM455; CRIMX3
Rachelle  Louden ,Criminal Justice,5,5,100,2.4,CRIM131; CRIM318
Simin Bagheri Najmi,Physics,3.3,53,52.2727,3.1,PHYS100; PHYS101; PHYS102; PHYS157
Margaret Grant,Cognitive Science,2.8,32,46.875,3.6,COG100; COGS100; COGS200; LING220
Claire Carolan,Education,3,4,50,3.8,EDUC355; EDUC455
Valorie Crooks,Geography,3.3,10,66.6667,3,GEO241; GEOG241; GEOG386; GEOG486
amanda zacharuk,Biomedical Physiology & Kinesiology,2.7,6,33.3333,3.8,BPK140
John Pickering,Geography,3,4,50,4,GEOG386
Natalia Kouzniak,Mathematics,3.7,53,56.5217,3.8,MATH150; MATH151; MATH154; MATH155; MATH157; MATH310
Cedric Chauve,Mathematics,2.3,95,70.3704,4,CALC154; MACM201; MATH154; MATH302; MATH309; MATH343
Michael Walsh,Kinesiology,2.6,96,40.3509,3.7,BPK140; BPK142; BPK304; BPK304W; BPK310; BPK375
Cameron Forde,Chemistry,2,96,5.5556,3.8,CHEM121; CHEM122; CHEM126; PHY101; PHYS101
Mahatelge Peiris,Statistics,4.8,5,100,2.6,STA032; STAT485
Jason Brown,Humanities,2,2,0,5,REM320W
Sara Anwar,Business Administration,4,1,100,4,BUS373
Dennis Sandgathe,Archaeology,4,177,67.7083,2.8,ARCH131; ARCH272
Tim Beischlag,Health Science,2.9,19,53.8462,3.2,HSCI100; HSCI323; HSCI471; HSCI476
Peter Tingling,Business Administration,3.2,112,50,3.6,201; B; BUS; BUS201; BUS237
Hazra Imran,Computer Science,2.7,100,41,3.6,CMPT120; CMPT300
Bob Russell,Mathematics,2.6,33,100,3.6,MACM316; MATH154; MATH155; MATH158; MATH232; MATH418; MATHA; MTH154
Pamela Glatt,Criminology,3.4,43,60.4651,2.9,CRIM103; CRIM213; CRIM230; CRIM438
Alison Dean,English,4.3,106,91.2621,3.2,ENG111W; ENGL111W
Nicole Didicher,English,3.3,105,44,3,DRAMAD100; EN322; ENG103; ENG105; ENG205; ENG320; ENG322; ENG387; ENGL103; ENGL104; ENGL105; ENGL105W; ENGL112; ENGL112W; ENGL205; ENGL206; ENGL212Q; ENGL383; ENGL387; ENGL404; ENGL420; ENGLISH322
Vicki Marlatt,Biology,4.6,12,87.5,2.5,BISC308; BISC316; BISC473
Gulnaz Anjum,Psychology,4.3,58,81.0345,3.3,D100366; PSY366; PSY391; PSYC361; PSYC366; PSYC391; PSYCD100; PSYCH391
Leah Bendell-Young,Biology,2.7,89,46.1538,2.7,BIO102; BIO204; BISC100; BISC102; BISC204; BISC474; D100; ECOLOGY204; EVSC100; EVSC200
Xingdong Yang,Computer Science,2.9,16,50,4.1,CMPT362
Vienna Lam,Criminology,4.7,31,93.5484,2.7,CRIM101; CRIM218; CRIM318; CRIM330; CRIM355; CRIM402; crim220
Jason Proulx,Psychology,5,32,100,2.5,PSYC260
Melanie Cassidy,Art & Design,4.5,16,93.3333,2.1,CA135; IAT102
Kiyip Yee,History,2.7,6,33.3333,2.8,HIST254
Alice Airola,Criminal Justice,3,2,50,4,CRIM464
Isabelle Cote,Biology,4.2,35,55.5556,3.2,102; BIO102; BISC102; BISC406; EDUC100W
Elis Vllasi,Political Science,3.2,17,47.0588,2.8,POL141; POL349; POL422
Lance Castonguay,Education,3.9,9,77.7778,2.7,EDUC370; EDUC371W
Victoria Guyevskey,Mathematics,3.4,8,62.5,2.8,EDUC464; EDUC475; educ100
Kevin Cameron,Geology,3.4,71,41.1765,3.2,101; EASC; EASC101; EASC104; EASC107; EASC202; EASC205; GEOG101
Ahmed Al-Rawi,Communication,3.7,14,71.4286,3.2,CMNS201; CMNS201W; CMNS316; CMNS331; CMNS431
Christine Pitt,Marketing,5,3,100,2.3,BUS449
Timothy Beischlag,Health Science,4.3,3,66.6667,3.3,HSCI100; HSCI323
Bee Brigidi,History,3.5,2,50,1.5,HIST374
Victor Lozano,Economics,5,1,100,3,ECON342
